,LEA CODE,LEA,Total Teachers,Leaving,Attrition Rate,ADM,Reduced,Free,Needy Perc,S:T Ratio,Total dropouts,Dropout Rate,Total #Acts committed,Acts per 1000 students,Total Expenditures (TOTALEXP) per Pupil (V33),Total Current Expenditures (TCURELSC) per Pupil (V33),Instructional Expenditures (E13) per Pupil (V33),American Indian/Alaska Native Students,Nat Amr Perc,Asian or Asian/Pacific Islander Students,Asian Perc,Hispanic Students,Hisp Perc,Black Students,Black Perc,White Students,White Perc,Hawaiian Nat./Pacific Isl. Students,Hawaiian Perc,Two or More Races Students,2 Plus perc,Total Revenue (TOTALREV) per Pupil (V33),Total Revenue - Federal Sources (TFEDREV) per Pupil (V33),Total Revenue - State Sources (TSTREV) per Pupil (V33),Total Revenue - Local Sources (TLOCREV) per Pupil (V33),Urban-centric Locale,Urban centric local number,groups
0,10,Alamance-Burlington,1507,231,15.33,22604,12364,1389,60.84,15.0,256,3.48,78,11.21,8468,8192.0,5465,108,0.47779154100000004,327,1.446646611,5604,24.792072199999996,4945,21.876659,11127,49.22580074,30,0.13271987300000002,899,3.977172182,8148,1060,5336,1752,41-Rural: Fringe,41,3
1,20,Alexander,338,29,8.58,5120,2354,445,54.67,15.15,46,2.79,23,15.56,8875,8424.0,5366,8,0.15625,102,1.9921875,456,8.90625,211,4.12109375,4278,83.5546875,4,0.078125,198,3.8671875,8742,1133,6138,1471,41-Rural: Fringe,41,2
2,30,Alleghany,121,14,11.57,1387,695,42,53.14,11.46,12,2.58,2,4.44,11923,11298.0,6630,6,0.43258832,3,0.21629416,303,21.84571017,9,0.64888248,1132,81.61499640000001,0,0.0,24,1.73035328,11863,1578,7703,2582,43-Rural: Remote,43,2
3,40,Anson,232,39,16.81,3490,2568,242,80.52,15.04,41,3.75,11,10.54,10543,10287.0,6028,12,0.34383954200000005,58,1.661891117,136,3.896848138,2005,57.44985673,1227,35.15759312,0,0.0,88,2.521489971,10872,2133,7179,1560,42-Rural: Distant,42,3
4,50,Ashe,237,22,9.28,3096,1644,335,63.92,13.06,39,3.93,6,6.45,10464,9697.0,5945,2,0.064599483,16,0.516795866,301,9.722222222000001,15,0.484496124,2871,92.73255814,0,0.0,35,1.130490956,10324,1124,6831,2369,41-Rural: Fringe,41,2
5,761,Asheboro City,356,49,13.78,4744,3259,335,75.76,13.33,26,1.95,3,2.27,9041,8859.0,5558,9,0.189713322,85,1.791736931,2102,44.30860034,659,13.89123103,1803,38.00590219,0,0.0,192,4.047217538,9029,1356,5696,1976,31-Town: Fringe,31,3
6,111,Asheville City,327,56,17.13,4295,1680,202,43.82,13.13,42,2.94,17,12.58,16636,11290.0,7055,7,0.16298021,52,1.2107101279999999,334,7.7764842839999995,1028,23.93480792,2652,61.74621653,6,0.13969732199999998,282,6.565774156,12062,1478,5474,5110,13-City: Small,13,3
7,60,Avery,164,10,6.1,1826,1098,244,73.49,11.13,9,1.35,2,3.14,11633,11034.0,6371,4,0.21905805,12,0.657174151,233,12.76013143,12,0.657174151,1898,103.9430449,2,0.109529025,34,1.8619934280000001,11144,1325,7214,2605,42-Rural: Distant,42,2
8,70,Beaufort,500,66,13.2,6937,4235,467,67.78,13.87,59,2.59,30,13.91,9403,8976.0,5580,18,0.25947816100000004,25,0.360386334,1085,15.6407669,2371,34.17903993,3434,49.50266686,6,0.08649272,243,3.502955168,9145,1145,5759,2241,41-Rural: Fringe,41,3
9,80,Bertie,185,57,30.81,2258,1771,0,78.43,12.21,17,2.06,1,1.29,12915,11865.0,6452,12,0.531443756,4,0.177147919,58,2.568644818,2071,91.71833481,373,16.5190434,2,0.08857395900000001,26,1.15146147,11622,2492,7558,1572,42-Rural: Distant,42,6
10,90,Bladen,334,65,19.46,4670,2783,0,59.59,13.98,59,3.97,9,6.29,9545,9149.0,5227,70,1.498929336,10,0.214132762,848,18.15845824,1877,40.19271949,1921,41.13490364,0,0.0,199,4.26124197,9497,1496,6286,1715,42-Rural: Distant,42,4
11,100,Brunswick,805,120,14.91,12332,6206,251,52.36,15.32,158,3.82,38,9.71,10363,9473.0,5489,111,0.900097308,84,0.681154719,1453,11.78235485,1944,15.76386636,8440,68.43983133,15,0.121634771,487,3.9490755760000003,10038,1168,5591,3279,41-Rural: Fringe,41,3
12,110,Buncombe,1672,217,12.98,24700,11873,1925,55.86,14.77,188,2.31,169,21.69,10075,8894.0,5410,84,0.34008097200000004,357,1.44534413,3635,14.71659919,1664,6.736842105,18214,73.74089069,70,0.28340081,982,3.975708502,9520,1153,5550,2817,21-Suburb: Large,21,3
13,120,Burke,847,79,9.33,12504,5503,936,51.5,14.76,86,2.02,22,5.45,8936,8332.0,5159,19,0.151951376,835,6.677863084,1627,13.01183621,630,5.038387716,9278,74.20025592,9,0.071976967,586,4.68650032,8609,1157,5815,1637,41-Rural: Fringe,41,2
14,130,Cabarrus,1895,264,13.93,30630,11917,1545,43.95,16.16,172,1.78,104,10.59,7278,5025.0,3458,3,0.009794319000000001,80,0.261181848,72,0.235063663,180,0.587659158,518,1.691152465,3,0.009794319000000001,32,0.10447273900000001,7529,229,4968,2332,13-City: Small,13,3
15,140,Caldwell,838,63,7.52,11301,6025,999,62.15,13.49,69,1.7,22,5.64,10072,8652.0,5630,10,0.08848774400000001,81,0.71675073,1133,10.02566145,654,5.787098487000001,9761,86.37288736,1,0.008848774,489,4.327050703,9136,962,6181,1993,22-Suburb: Mid-size,22,2
