LEA CODE,LEA,Total Teachers,Leaving,Attrition Rate,ADM,Reduced,Free,Needy Perc,S:T Ratio,Total dropouts,Dropout Rate,Total #Acts committed,Acts per 1000 students,Total Expenditures (TOTALEXP) per Pupil (V33),Total Current Expenditures (TCURELSC) per Pupil (V33),Instructional Expenditures (E13) per Pupil (V33),American Indian/Alaska Native Students,Nat Amr Perc,Asian or Asian/Pacific Islander Students,Asian Perc,Hispanic Students,Hisp Perc,Black Students,Black Perc,White Students,White Perc,Hawaiian Nat./Pacific Isl. Students,Hawaiian Perc,Two or More Races Students,2 Plus perc,Total Revenue (TOTALREV) per Pupil (V33),Total Revenue - Federal Sources (TFEDREV) per Pupil (V33),Total Revenue - State Sources (TSTREV) per Pupil (V33),Total Revenue - Local Sources (TLOCREV) per Pupil (V33),Urban-centric Locale,Urban centric local number
800,Rowan-Salisbury,1408,143,10.16,20002,1346,10758,60.51,14.21,214,3.36,76,3.8,8965,8351,5240,59,0.294970503,214,1.069893011,2417,12.08379162,3938,19.6880312,13349,66.73832617,24,0.119988001,27,0.134986501,9333,1445,5131,2756,41-Rural: Fringe,41
810,Rutherford,603,61,10.12,8765,679,5355,68.84,14.54,137,4.67,66,7.53,9694,9073,5671,51,0.581859669,44,0.501996577,545,6.217912151,1169,13.33713634,6698,76.41756988,5,0.057045066,12,0.136908157,12060,2052,5717,4291,41-Rural: Fringe,41
820,Sampson,559,56,10.02,8320,668,5489,74,14.88,122,4.81,57,6.85,9174,8278,5114,73,0.877403846,7,0.084134615,2575,30.94951923,1821,21.88701923,3653,43.90625,4,0.048076923,11,0.132211538,9679,1669,5657,2353,42-Rural: Distant,42
830,Scotland,507,72,14.2,6153,436,4303,77.02,12.14,108,5.37,47,7.64,11361,10413,6316,963,15.650902,65,1.056395254,133,2.161547213,2970,48.26913701,2140,34.77978222,4,0.065008939,27,0.438810336,11076,2311,6550,2215,32-Town: Distant,32
840,Stanly,743,47,6.33,8966,747,4224,55.44,12.07,111,3.85,89,9.93,8696,8289,5451,25,0.27883114,315,3.513272362,591,6.591568146,1223,13.64041936,6855,76.45549855,2,0.022306491,2,0.022306491,8976,1396,5482,2098,42-Rural: Distant,42
850,Stokes,504,34,6.75,6847,558,2768,48.58,13.59,89,3.76,54,7.89,10601,8551,5186,23,0.335913539,20,0.292098729,318,4.644369797,248,3.622024244,6148,89.79114941,5,0.073024682,25,0.365123412,9958,1285,5851,2821,41-Rural: Fringe,41
860,Surry,596,28,4.7,8443,869,4093,58.77,14.17,129,4.72,70,8.29,9093,8177,5173,12,0.142129575,46,0.544830037,1682,19.92182873,209,2.475423428,6620,78.40814876,1,0.011844131,1,0.011844131,9563,1312,5472,2779,42-Rural: Distant,42
870,Swain,141,7,4.96,1888,213,981,63.24,13.39,46,6.81,18,9.53,9562,8951,5270,492,26.05932203,8,0.423728814,76,4.025423729,12,0.63559322,1391,73.67584746,1,0.052966102,146,7.733050847,10037,2405,6362,1270,42-Rural: Distant,42
292,Thomasville City,191,26,13.61,2408,176,2037,91.9,12.61,42,5.69,11,4.57,10410,9795,5914,18,0.747508306,19,0.789036545,713,29.60963455,958,39.78405316,680,28.23920266,3,0.124584718,35,1.453488372,10870,2824,5624,2422,13-City: Small,13
880,Transylvania,286,21,7.34,3511,300,1720,57.53,12.28,35,2.92,50,14.24,9950,9484,5799,10,0.28481914,25,0.71204785,163,4.642551979,185,5.269154087,3053,86.9552834,2,0.056963828,0,0,10759,1321,5452,3986,32-Town: Distant,32
890,Tyrrell,52,10,19.23,565,43,381,75.04,10.87,4,2.48,0,0,15984,15160,7998,1,0.17699115,18,3.185840708,88,15.57522124,221,39.11504425,248,43.89380531,0,0,6,1.061946903,16079,2430,11534,2115,43-Rural: Remote,43
900,Union,2467,240,9.73,39040,2124,11255,34.27,15.82,233,2.02,342,8.76,8969,7511,4715,105,0.268954918,575,1.472848361,5576,14.28278689,5511,14.11629098,27438,70.2817623,23,0.058913934,11,0.02817623,12245,876,4716,6653,41-Rural: Fringe,41
910,Vance,560,98,17.5,6868,565,5835,93.19,12.26,129,5.55,53,7.72,9530,9059,5722,11,0.160163075,30,0.436808387,885,12.88584741,4558,66.36575422,1648,23.99534071,1,0.01456028,18,0.262085032,9824,1925,6113,1786,41-Rural: Fringe,41
920,Wake,9202,1023,11.12,142351,7697,44332,36.55,15.47,1386,3.25,1132,7.95,9273,7714,5032,641,0.450295397,8830,6.202977148,21177,14.87660782,35746,25.11116887,71278,50.07200511,0,0,0,0,8208,1010,4704,2494,11-City: Large,11
930,Warren,205,41,20,2458,227,1901,86.57,11.99,32,3.9,31,12.61,11246,10427,6173,168,6.834825061,3,0.122050448,155,6.305939788,1759,71.56224573,478,19.44670464,0,0,0,0,11591,2276,6965,2351,43-Rural: Remote,43
940,Washington,150,23,15.33,1749,129,1347,84.39,11.66,18,2.98,10,5.72,11191,10971,6769,0,0,5,0.285877644,120,6.861063465,1324,75.70040023,425,24.29959977,0,0,57,3.259005146,11423,2565,7596,1263,41-Rural: Fringe,41
950,Watauga,375,31,8.27,4297,322,1340,38.68,11.46,35,2.41,50,11.64,10521,9111,5756,5,0.116360251,52,1.210146614,277,6.446357924,50,1.163602513,3963,92.22713521,4,0.093088201,14,0.325808704,11519,1357,5274,4889,41-Rural: Fringe,41
960,Wayne,1259,136,10.8,19033,1875,10750,66.33,15.12,241,4.18,127,6.67,8130,7751,5227,38,0.199653234,192,1.008774234,3039,15.96700468,6739,35.40692481,8217,43.17238481,21,0.110334682,157,0.824883098,8225,1499,5437,1289,41-Rural: Fringe,41
422,Weldon City,88,13,14.77,1023,42,721,74.58,11.63,14,4.06,4,3.91,12497,12185,6653,7,0.684261975,6,0.586510264,9,0.879765396,1045,102.1505376,39,3.812316716,0,0,1225,119.7458456,13126,3403,7165,2558,41-Rural: Fringe,41
241,Whiteville City,152,15,9.87,2224,124,1432,69.96,14.63,12,1.79,16,7.19,9353,8921,5747,37,1.663669065,4,0.179856115,163,7.329136691,933,41.95143885,1108,49.82014388,0,0,6,0.269784173,9638,2204,6136,1298,32-Town: Distant,32
970,Wilkes,627,75,11.96,9874,767,5490,63.37,15.75,78,2.62,44,4.46,8504,7955,4928,18,0.182296941,30,0.303828236,1186,12.01134292,422,4.273850517,8413,85.20356492,4,0.040510431,72,0.729187766,11567,1440,5340,4787,41-Rural: Fringe,41
980,Wilson,770,78,10.13,12033,872,6994,65.37,15.63,168,4.53,85,7.06,8477,8023,4917,20,0.16620959,113,0.939084185,1617,13.43804538,5617,46.67996343,4579,38.0536857,3,0.024931439,7,0.058173357,10425,1551,5033,3841,41-Rural: Fringe,41
990,Yadkin,392,29,7.4,5805,434,2677,53.59,14.81,51,2.68,50,8.61,8681,8057,4994,15,0.258397933,18,0.310077519,1119,19.27648579,189,3.255813953,4630,79.7588286,11,0.189491817,18,0.310077519,9082,1267,5531,2284,42-Rural: Distant,42
995,Yancey,178,16.5,9.27,2341,222,1147,58.48,13.15,36,4.74,9,3.85,10130,9655,5508,8,0.341734302,8,0.341734302,214,9.141392567,24,1.025202905,2070,88.42375053,1,0.042716788,82,3.502776591,10180,1705,6635,1839,42-Rural: Distant,42
10,Alamance-Burlington,1491,210,14.08,22237,1437,11331,57.42,14.76,233,3.31,163,7.33,8055,7875,5169,96,0.431712911,291,1.308629761,5203,23.39794037,4823,21.68907676,11648,52.38116652,30,0.134910285,781,3.512164411,7944,1108,5113,1724,41-Rural: Fringe,41
20,Alexander,338,34,10.06,5320,427,2431,53.72,15.74,42,2.49,57,10.71,8638,8317,5331,9,0.169172932,109,2.04887218,402,7.556390977,206,3.872180451,4502,84.62406015,0,0,157,2.95112782,8378,1123,5889,1366,41-Rural: Fringe,41
30,Alleghany,119,10,8.4,1392,170,812,70.55,11.5,13,2.97,7,5.03,11097,10667,6378,1,0.07183908,4,0.287356322,279,20.04310345,9,0.646551724,1195,85.84770115,0,0,19,1.364942529,10935,1160,7433,2342,43-Rural: Remote,43
40,Anson,256,46,17.97,3610,269,2588,79.14,15.56,46,4.06,15,4.16,10981,10618,6099,20,0.55401662,56,1.551246537,117,3.24099723,2126,58.89196676,1242,34.40443213,2,0.055401662,88,2.43767313,11052,2505,7145,1402,42-Rural: Distant,42
50,Ashe,238,24,10.08,3167,377,1603,62.52,13.36,24,2.48,33,10.42,10340,9290,5706,5,0.157878118,16,0.505209978,289,9.125355226,15,0.473634354,2948,93.08493843,0,0,43,1.357751816,9868,1188,6495,2185,41-Rural: Fringe,41
761,Asheboro City,337,67,19.88,4694,314,3219,75.27,13.19,8,1.23,29,6.18,9277,8718,5557,17,0.362164465,75,1.597784406,1910,40.69024286,737,15.70089476,1944,41.41457179,3,0.063911376,188,4.00511291,8875,1320,5572,1982,31-Town: Fringe,31
111,Asheville City,326,43,13.19,4081,156,1760,46.95,12.48,44,2.05,37,9.07,12162,11166,6794,10,0.245037981,53,1.298701299,273,6.689536878,1093,26.78265131,2472,60.57338888,4,0.098015192,290,7.106101446,12128,1556,5568,5005,13-City: Small,13
60,Avery,167,20,11.98,2134,224,1102,62.14,13.01,27,3.12,11,5.16,10623,10172,5835,2,0.093720712,10,0.468603561,202,9.46579194,6,0.281162137,1995,93.4864105,4,0.187441425,26,1.21836926,10547,1320,6673,2553,42-Rural: Distant,42
70,Beaufort,503,68,13.52,6980,444,4253,67.29,13.96,65,4.22,45,6.45,8866,8503,5160,13,0.186246418,19,0.272206304,1003,14.36962751,2367,33.91117479,3585,51.36103152,5,0.071633238,263,3.767908309,8885,1232,5581,2073,41-Rural: Fringe,41
80,Bertie,184,49,26.63,2619,231,2088,88.55,14.16,108,3.09,6,2.29,10044,9740,5194,17,0.649102711,6,0.229095074,61,2.329133257,2310,88.20160367,424,16.18938526,0,0,32,1.221840397,10255,1893,6688,1674,42-Rural: Distant,42
90,Bladen,358,55,15.36,4910,338,3588,79.96,14.7,243,2.84,36,7.33,9803,9486,5388,59,1.201629328,10,0.203665988,778,15.84521385,2089,42.54582485,2087,42.50509165,1,0.020366599,209,4.256619145,9800,1698,6416,1686,42-Rural: Distant,42
100,Brunswick,763,88,11.53,12201,1086,6616,63.13,15.16,33,2.53,84,6.89,9343,8925,5116,109,0.893369396,74,0.606507663,1302,10.67125645,1989,16.30194246,8441,69.18285386,10,0.081960495,511,4.188181297,9517,1123,5290,3105,41-Rural: Fringe,41
110,Buncombe,1661,196,11.8,25370,2052,12151,55.98,15.17,65,1.53,285,11.23,8898,8513,5202,88,0.346866378,364,1.434765471,3306,13.03113914,1587,6.255419787,19357,76.29877808,52,0.204966496,1070,4.217579819,9041,1250,5216,2575,21-Suburb: Large,21
120,Burke,838,76,9.07,12784,1240,7001,64.46,15.09,175,1.95,98,7.67,8716,8252,5215,24,0.187734668,839,6.562891114,1446,11.31101377,724,5.663329161,9716,76.00125156,10,0.078222778,584,4.568210263,8223,1240,5408,1574,41-Rural: Fringe,41
130,Cabarrus,1861,242,13,29721,1732,11030,42.94,15.68,44,2.98,153,5.15,7744,7421,4657,119,0.400390296,857,2.883483059,4164,14.01029575,5652,19.01685677,18508,62.27246728,32,0.107667979,1086,3.653982033,7668,797,4835,2035,13-City: Small,13
140,Caldwell,851,95,11.16,12224,1092,6275,60.27,14.59,77,1.93,69,5.65,8598,8225,5329,15,0.122709424,82,0.670811518,1060,8.671465969,708,5.791884817,10019,81.96171466,2,0.016361257,500,4.090314136,8577,974,5860,1743,22-Suburb: Mid-size,22
150,Camden,123,12,9.76,1898,130,562,36.46,15.18,8,1.34,3,1.58,9074,8572,4993,8,0.421496312,27,1.422550053,48,2.528977871,240,12.64488936,1525,80.34773446,3,0.158061117,78,4.109589041,9067,921,6722,1424,41-Rural: Fringe,41
160,Carteret,606,61,10.07,8391,644,3046,43.98,12.91,43,1.59,54,6.44,9153,8727,5543,46,0.548206412,87,1.03682517,574,6.840662615,584,6.959837922,6904,82.27863187,16,0.190680491,490,5.839590037,9016,934,5460,2622,41-Rural: Fringe,41
170,Caswell,203,30,14.78,2777,233,1712,70.04,14.24,25,2.97,21,7.56,9658,9123,5563,5,0.180050414,7,0.25207058,173,6.229744328,1034,37.23442564,1553,55.92365862,0,0,102,3.673028448,9555,1217,7083,1255,42-Rural: Distant,42
180,Catawba,1057,120,11.35,16984,1412,7475,52.33,16.18,92,1.66,119,7.01,8208,7913,5027,32,0.188412624,1150,6.771078662,2207,12.99458314,900,5.29910504,12262,72.19736222,11,0.064766839,694,4.086198775,8100,902,5211,1987,41-Rural: Fringe,41
681,Chapel Hill-Carrboro,940,165,17.55,12094,362,2914,27.09,12.84,45,3.72,77,6.37,12957,10677,6988,63,0.520919464,1860,15.37952704,1801,14.89168183,1480,12.23747313,6304,52.12502067,5,0.041342815,816,6.747147346,10768,660,4772,5336,13-City: Small,13
600,Charlotte-Mecklenburg,570,76,13.33,140161,8556,71080,56.82,16.28,9,0.98,1386,9.89,8852,8132,5072,679,0.484442891,7520,5.365258524,27223,19.42266394,60282,43.00911095,45190,32.24149371,0,0,3584,2.557059382,8552,894,4926,2732,11-City: Large,11
190,Chatham,254,30,11.81,8073,436,3800,52.47,13.73,53,2.23,82,10.16,10099,9244,5703,21,0.260126347,76,0.941409637,2419,29.96407779,1044,12.93199554,4580,56.7323176,1,0.012386969,313,3.877121268,9964,889,5334,3741,41-Rural: Fringe,41
220,Clay,100,9,9,1309,109,687,60.81,13.22,27,3.79,0,0,9921,9667,5904,4,0.305576776,3,0.229182582,58,4.430863254,12,0.916730328,1289,98.47211612,2,0.152788388,20,1.527883881,10012,883,7564,1566,43-Rural: Remote,43
