,LEA CODE,LEA,Total Teachers,Leaving,Attrition Rate,ADM,Reduced,Free,Needy Perc,S:T Ratio,Total dropouts,Dropout Rate,Total #Acts committed,Acts per 1000 students,Total Expenditures (TOTALEXP) per Pupil (V33),Total Current Expenditures (TCURELSC) per Pupil (V33),Instructional Expenditures (E13) per Pupil (V33),American Indian/Alaska Native Students,Nat Amr Perc,Asian or Asian/Pacific Islander Students,Asian Perc,Hispanic Students,Hisp Perc,Black Students,Black Perc,White Students,White Perc,Hawaiian Nat./Pacific Isl. Students,Hawaiian Perc,Two or More Races Students,2 Plus perc,Total Revenue (TOTALREV) per Pupil (V33),Total Revenue - Federal Sources (TFEDREV) per Pupil (V33),Total Revenue - State Sources (TSTREV) per Pupil (V33),Total Revenue - Local Sources (TLOCREV) per Pupil (V33),Urban-centric Locale,Urban centric local number,groups
16,150,Camden,123,12,9.76,1898,130,562,36.46,15.18,8,1.34,3,1.58,9074,8572,4993,8,0.42149631200000004,27,1.4225500530000001,48,2.528977871,240,12.64488936,1525,80.34773446,3,0.158061117,78,4.109589041,9067,921,6722,1424,41-Rural: Fringe,41,2
17,160,Carteret,606,61,10.07,8391,644,3046,43.98,12.91,43,1.59,54,6.44,9153,8727,5543,46,0.548206412,87,1.03682517,574,6.840662615,584,6.959837922,6904,82.27863187,16,0.190680491,490,5.839590037000001,9016,934,5460,2622,41-Rural: Fringe,41,2
18,170,Caswell,203,30,14.78,2777,233,1712,70.04,14.24,25,2.97,21,7.56,9658,9123,5563,5,0.180050414,7,0.25207058,173,6.229744328,1034,37.23442564,1553,55.92365862,0,0.0,102,3.673028448,9555,1217,7083,1255,42-Rural: Distant,42,3
19,180,Catawba,1057,120,11.35,16984,1412,7475,52.33,16.18,92,1.66,119,7.01,8208,7913,5027,32,0.18841262399999997,1150,6.771078662000001,2207,12.99458314,900,5.29910504,12262,72.19736222,11,0.064766839,694,4.086198775,8100,902,5211,1987,41-Rural: Fringe,41,2
20,681,Chapel Hill-Carrboro,940,165,17.55,12094,362,2914,27.09,12.84,45,3.72,77,6.37,12957,10677,6988,63,0.520919464,1860,15.37952704,1801,14.89168183,1480,12.23747313,6304,52.12502067,5,0.041342815,816,6.747147346,10768,660,4772,5336,13-City: Small,13,4
21,600,Charlotte-Mecklenburg,570,76,13.33,140161,8556,71080,56.82,16.28,9,0.98,1386,9.89,8852,8132,5072,679,0.48444289100000004,7520,5.365258524,27223,19.42266394,60282,43.00911095,45190,32.24149371,0,0.0,3584,2.557059382,8552,894,4926,2732,11-City: Large,11,3
22,190,Chatham,254,30,11.81,8073,436,3800,52.47,13.73,53,2.23,82,10.16,10099,9244,5703,21,0.260126347,76,0.941409637,2419,29.96407779,1044,12.93199554,4580,56.732317599999995,1,0.012386969,313,3.8771212680000002,9964,889,5334,3741,41-Rural: Fringe,41,3
23,220,Clay,100,9,9.0,1309,109,687,60.81,13.22,27,3.79,0,0.0,9921,9667,5904,4,0.305576776,3,0.229182582,58,4.430863254,12,0.916730328,1289,98.47211612,2,0.152788388,20,1.527883881,10012,883,7564,1566,43-Rural: Remote,43,2
24,230,Cleveland,1122,123,10.96,15329,976,8800,63.77,13.75,6,1.52,131,8.55,9674,8910,5736,18,0.11742449,129,0.841542175,777,5.068823798,4176,27.24248157,10133,66.10346402,3,0.019570748,715,4.664361667,9450,1402,5795,2253,41-Rural: Fringe,41,2
25,821,Clinton City,218,34,15.6,2979,219,1959,73.11,14.19,133,2.67,9,3.02,8699,8422,5057,96,3.222557905,36,1.208459215,656,22.02081235,1246,41.82611615,995,33.40046996,2,0.06713662299999999,113,3.7932192010000003,8648,1236,5436,1976,32-Town: Distant,32,3
26,240,Columbus,433,74,17.09,6259,480,4121,73.51,15.77,54,2.65,12,1.92,9421,8688,5252,380,6.0712573889999994,4,0.06390797299999999,572,9.13884007,2067,33.024444800000005,3420,54.6413165,4,0.06390797299999999,111,1.773446237,9194,1548,6391,1254,42-Rural: Distant,42,3
27,250,Craven,958,157,16.39,14581,1336,6888,56.4,15.38,28,3.64,74,5.08,8160,7995,4933,50,0.34291200899999996,513,3.51827721,1321,9.059735272000001,4376,30.01165901,8015,54.96879501,29,0.198888965,724,4.965365887,7869,1204,5143,1522,41-Rural: Fringe,41,3
28,260,Cumberland,3682,629,17.08,51189,4113,26597,59.99,14.02,101,2.33,522,10.2,8536,8097,5131,1007,1.96721952,919,1.7953075859999998,6085,11.88731954,23641,46.18375042,17508,34.20266073,206,0.40243021,3559,6.9526656120000006,8042,1240,4953,1849,12-City: Mid-size,12,3
29,270,Currituck,247,29,11.74,3816,235,1173,36.9,15.02,267,1.64,22,5.77,9616,9019,5252,8,0.209643606,16,0.419287212,172,4.507337526000001,204,5.34591195,3137,82.20649895,3,0.078616352,376,9.853249476,9438,814,5521,3103,42-Rural: Distant,42,3
30,280,Dare,384,31,8.07,4883,333,1880,45.32,12.33,22,1.84,35,7.17,10821,10559,6521,7,0.143354495,46,0.9420438259999999,617,12.63567479,151,3.092361253,4104,84.04669261,0,0.0,163,3.3381118169999997,10752,702,5641,4409,33-Town: Remote,33,2
31,290,Davidson,1218,128,10.51,19831,910,8192,45.9,16.47,10,0.68,144,7.26,7670,7188,4586,65,0.32776965399999997,212,1.069033332,1311,6.610861782000001,622,3.1365034539999996,17681,89.15838838,11,0.055468711,357,1.80021179,7615,808,5132,1675,41-Rural: Fringe,41,2
