,LEA CODE,LEA,Total Teachers,Leaving,Attrition Rate,ADM,Reduced,Free,Needy Perc,S:T Ratio,Total dropouts,Dropout Rate,Total #Acts committed,Acts per 1000 students,Total Expenditures (TOTALEXP) per Pupil (V33),Total Current Expenditures (TCURELSC) per Pupil (V33),Instructional Expenditures (E13) per Pupil (V33),American Indian/Alaska Native Students,Nat Amr Perc,Asian or Asian/Pacific Islander Students,Asian Perc,Hispanic Students,Hisp Perc,Black Students,Black Perc,White Students,White Perc,Hawaiian Nat./Pacific Isl. Students,Hawaiian Perc,Two or More Races Students,2 Plus perc,Total Revenue (TOTALREV) per Pupil (V33),Total Revenue - Federal Sources (TFEDREV) per Pupil (V33),Total Revenue - State Sources (TSTREV) per Pupil (V33),Total Revenue - Local Sources (TLOCREV) per Pupil (V33),Urban-centric Locale,Urban centric local number,groups
0,10,Alamance-Burlington,1508,172.0,11.41,22133,1295,10470,53.16,14.68,263,3.77,181,8.18,8489,7750,5103,91,0.41115077,299,1.35092396,4794,21.65996476,4903,22.15244205,12030,54.35322821,26,0.117471649,0,0.0,8659,1298,5016,2344,41-Rural: Fringe,41,2
1,20,Alexander,337,20.0,5.93,5450,476,2557,55.65,16.17,66,3.72,52,9.54,8164,7893,5186,7,0.128440367,122,2.23853211,390,7.155963302999999,215,3.944954128,4654,85.39449541,0,0.0,668,12.25688073,8504,1322,5576,1606,41-Rural: Fringe,41,2
2,30,Alleghany,132,8.0,6.06,1447,189,801,68.42,10.96,19,4.13,14,9.68,11392,10697,6463,2,0.138217001,3,0.20732550100000002,215,14.85832757,17,1.174844506,1298,89.70283345,0,0.0,144,9.95162405,12048,1911,7128,3009,43-Rural: Remote,43,2
3,40,Anson,265,40.0,15.09,3755,2,2620,69.83,14.17,50,3.91,25,6.66,10221,9796,5562,22,0.585885486,75,1.997336884,128,3.4087882819999997,2291,61.01198402,1229,32.72969374,3,0.079893475,13,0.34620506,10384,2071,6607,1706,41-Rural: Fringe,41,3
4,50,Ashe,252,22.0,8.73,3145,327,1622,61.97,12.48,34,3.54,29,9.22,10409,9202,5660,14,0.445151033,18,0.572337043,282,8.966613672000001,12,0.38155802899999997,2930,93.16375199,1,0.031796502000000004,11,0.349761526,10873,1556,6471,2846,43-Rural: Remote,43,2
5,761,Asheboro City,338,34.0,10.06,4565,325,2927,71.24,13.51,37,2.88,52,11.39,9389,8974,5500,21,0.46002190600000004,67,1.4676889380000002,1785,39.10186199,701,15.35596933,2067,45.27929901,2,0.04381161,0,0.0,9479,2303,5219,1957,32-Town: Distant,32,2
6,111,Asheville City,321,17.0,5.3,3855,182,1723,49.42,12.01,39,3.24,46,11.93,13405,12131,7085,6,0.15564202300000002,44,1.141374838,265,6.874189363999999,1112,28.84565499,2156,55.92736706,0,0.0,197,5.110246433,12957,2268,5533,5156,13-City: Small,13,1
7,60,Avery,196,19.0,9.69,2120,243,1073,62.08,10.82,18,2.71,4,1.89,10925,10280,5882,4,0.188679245,8,0.377358491,173,8.160377358,4,0.188679245,2029,95.70754717,4,0.188679245,289,13.63207547,11611,1661,6573,3377,42-Rural: Distant,42,2
8,70,Beaufort,512,59.0,11.52,6904,464,4064,65.59,13.48,111,5.02,81,11.73,9642,9016,5488,15,0.217265353,20,0.289687138,881,12.76071842,2404,34.82039397,3641,52.73754345,0,0.0,17,0.246234067,9892,1653,5537,2702,42-Rural: Distant,42,2
9,80,Bertie,301,45.0,14.95,2730,226,1793,73.96,9.07,34,3.57,17,6.23,10287,9904,5394,18,0.6593406589999999,18,0.6593406589999999,42,1.5384615380000002,2407,88.16849817,394,14.43223443,0,0.0,241,8.827838827999999,10744,2089,6941,1713,43-Rural: Remote,43,3
