LEA CODE,LEA,Total Teachers,Leaving,Attrition Rate,ADM,Reduced,Free,Needy Perc,S:T Ratio,Total dropouts,Dropout Rate,Total #Acts committed,Acts per 1000 students,Total Expenditures (TOTALEXP) per Pupil (V33),Total Current Expenditures (TCURELSC) per Pupil (V33),Instructional Expenditures (E13) per Pupil (V33),American Indian/Alaska Native Students,Nat Amr Perc,Asian or Asian/Pacific Islander Students,Asian Perc,Hispanic Students,Hisp Perc,Black Students,Black Perc,White Students,White Perc,Hawaiian Nat./Pacific Isl. Students,Hawaiian Perc,Two or More Races Students,2 Plus perc,Total Revenue (TOTALREV) per Pupil (V33),Total Revenue - Federal Sources (TFEDREV) per Pupil (V33),Total Revenue - State Sources (TSTREV) per Pupil (V33),Total Revenue - Local Sources (TLOCREV) per Pupil (V33),Urban-centric Locale,Urban centric local number
10,Alamance-Burlington,1508,172,11.41,22133,1295,10470,53.16,14.68,263,3.77,181,8.18,8489,7750,5103,91,0.41115077,299,1.35092396,4794,21.65996476,4903,22.15244205,12030,54.35322821,26,0.117471649,0,0,8659,1298,5016,2344,41-Rural: Fringe,41
20,Alexander,337,20,5.93,5450,476,2557,55.65,16.17,66,3.72,52,9.54,8164,7893,5186,7,0.128440367,122,2.23853211,390,7.155963303,215,3.944954128,4654,85.39449541,0,0,668,12.25688073,8504,1322,5576,1606,41-Rural: Fringe,41
30,Alleghany,132,8,6.06,1447,189,801,68.42,10.96,19,4.13,14,9.68,11392,10697,6463,2,0.138217001,3,0.207325501,215,14.85832757,17,1.174844506,1298,89.70283345,0,0,144,9.95162405,12048,1911,7128,3009,43-Rural: Remote,43
40,Anson,265,40,15.09,3755,2,2620,69.83,14.17,50,3.91,25,6.66,10221,9796,5562,22,0.585885486,75,1.997336884,128,3.408788282,2291,61.01198402,1229,32.72969374,3,0.079893475,13,0.34620506,10384,2071,6607,1706,41-Rural: Fringe,41
50,Ashe,252,22,8.73,3145,327,1622,61.97,12.48,34,3.54,29,9.22,10409,9202,5660,14,0.445151033,18,0.572337043,282,8.966613672,12,0.381558029,2930,93.16375199,1,0.031796502,11,0.349761526,10873,1556,6471,2846,43-Rural: Remote,43
761,Asheboro City,338,34,10.06,4565,325,2927,71.24,13.51,37,2.88,52,11.39,9389,8974,5500,21,0.460021906,67,1.467688938,1785,39.10186199,701,15.35596933,2067,45.27929901,2,0.04381161,0,0,9479,2303,5219,1957,32-Town: Distant,32
111,Asheville City,321,17,5.3,3855,182,1723,49.42,12.01,39,3.24,46,11.93,13405,12131,7085,6,0.155642023,44,1.141374838,265,6.874189364,1112,28.84565499,2156,55.92736706,0,0,197,5.110246433,12957,2268,5533,5156,13-City: Small,13
60,Avery,196,19,9.69,2120,243,1073,62.08,10.82,18,2.71,4,1.89,10925,10280,5882,4,0.188679245,8,0.377358491,173,8.160377358,4,0.188679245,2029,95.70754717,4,0.188679245,289,13.63207547,11611,1661,6573,3377,42-Rural: Distant,42
70,Beaufort,512,59,11.52,6904,464,4064,65.59,13.48,111,5.02,81,11.73,9642,9016,5488,15,0.217265353,20,0.289687138,881,12.76071842,2404,34.82039397,3641,52.73754345,0,0,17,0.246234067,9892,1653,5537,2702,42-Rural: Distant,42
80,Bertie,301,45,14.95,2730,226,1793,73.96,9.07,34,3.57,17,6.23,10287,9904,5394,18,0.659340659,18,0.659340659,42,1.538461538,2407,88.16849817,394,14.43223443,0,0,241,8.827838828,10744,2089,6941,1713,43-Rural: Remote,43
90,Bladen,430,31,7.21,5066,277,3563,75.8,11.78,90,5.36,27,5.33,9781,9288,5427,75,1.480457955,9,0.177654955,652,12.87011449,2220,43.82155547,2200,43.42676668,1,0.019739439,4,0.078957758,10221,2385,5996,1840,42-Rural: Distant,42
100,Brunswick,805,98,12.17,11969,911,6486,61.8,14.87,136,3.5,95,7.94,9678,8807,5261,108,0.902331022,67,0.55977943,1186,9.908931406,2094,17.49519592,8356,69.81368535,8,0.066839335,9,0.075194252,10402,1485,5079,3838,42-Rural: Distant,42
110,Buncombe,1639,141,8.6,25258,1777,11611,53,15.41,292,3.5,349,13.82,9962,8330,5173,82,0.324649616,348,1.377781297,2913,11.53297965,1524,6.033731887,19532,77.32995487,23,0.091060258,455,1.801409454,9865,1372,5204,3290,22-Suburb: Mid-size,22
120,Burke,732,42,5.74,13290,1297,6904,61.71,18.16,99,2.22,87,6.55,8321,7669,4832,34,0.255831452,928,6.982693755,1210,9.104589917,774,5.823927765,10305,77.53950339,25,0.188111362,1150,8.653122649,8761,1355,5317,2089,41-Rural: Fringe,41
130,Cabarrus,1890,176,9.31,28465,1618,9860,40.32,15.06,225,2.57,165,5.8,9081,7463,4737,105,0.368874056,624,2.192165818,3655,12.84033023,5134,18.03618479,18422,64.71807483,18,0.063235552,586,2.05866854,11923,1043,4611,6270,41-Rural: Fringe,41
140,Caldwell,903,58,6.42,12555,912,5967,54.79,13.9,167,4.02,92,7.33,8702,7917,5185,20,0.159299084,82,0.653126245,975,7.765830346,787,6.268418957,10450,83.23377141,3,0.023894863,1022,8.140183194,8965,1438,5656,1871,22-Suburb: Mid-size,22
150,Camden,132,2,1.52,1906,137,458,31.22,14.44,20,3.26,0,0,8906,8286,4863,8,0.419727177,17,0.891920252,47,2.465897167,265,13.90346275,1560,81.84679958,3,0.157397692,494,25.9181532,9461,888,6531,2042,42-Rural: Distant,42
160,Carteret,634,52,8.2,8342,609,3005,43.32,13.16,102,3.72,65,7.79,9555,8632,5546,45,0.539438983,91,1.0908655,458,5.490290098,639,7.660033565,6867,82.31838888,10,0.11987533,10,0.11987533,10416,1277,5031,4108,33-Town: Remote,33
170,Caswell,218,30,13.76,2880,206,1723,66.98,13.21,37,4.01,24,8.33,9730,9279,5944,5,0.173611111,7,0.243055556,196,6.805555556,1076,37.36111111,1604,55.69444444,0,0,30,1.041666667,10220,1654,6896,1670,42-Rural: Distant,42
180,Catawba,1087,93,8.56,17092,1167,7108,48.41,15.72,130,2.34,140,8.19,8777,7868,5094,40,0.234027615,1199,7.014977767,2030,11.87690147,971,5.68102036,12391,72.49590452,4,0.023402762,124,0.725485607,9503,1629,5024,2850,41-Rural: Fringe,41
681,Chapel Hill-Carrboro,924,99,10.71,11629,383,2354,23.54,12.59,44,1.19,49,4.21,11689,10696,7059,89,0.765328059,1679,14.43804282,1557,13.38894144,1402,12.05606673,6102,52.47226761,4,0.034396767,13,0.111789492,11385,1164,4751,5470,13-City: Small,13
600,Charlotte-Mecklenburg,8635,1215,14.07,134598,7505,62099,51.71,15.59,1404,3.57,1494,11.1,9782,8050,4998,534,0.39673695,6902,5.127862227,22258,16.53664988,55929,41.55262337,44623,33.15279573,0,0,7,0.005200672,10141,1322,4772,4047,11-City: Large,11
190,Chatham,588,63.5,10.8,7750,449,3477,50.66,13.18,92,3.97,54,6.97,10879,9284,5683,17,0.219354839,68,0.877419355,2160,27.87096774,1086,14.01290323,4429,57.1483871,0,0,11,0.141935484,11749,1422,5058,5269,42-Rural: Distant,42
200,Cherokee,271,24,8.86,3347,406,1865,67.85,12.35,30,2.57,5,1.49,10101,9215,5481,62,1.852405139,25,0.746937556,122,3.645055273,57,1.703017628,3245,96.95249477,1,0.029877502,0,0,10565,2036,6013,2516,43-Rural: Remote,43
220,Clay,99,4,4.04,1328,105,675,58.73,13.41,7,1.78,4,3.01,9715,9110,5901,3,0.225903614,3,0.225903614,41,3.087349398,14,1.054216867,1341,100.9789157,1,0.075301205,5,0.376506024,10113,1292,6945,1876,43-Rural: Remote,43
230,Cleveland,1136,105,9.24,15721,870,8538,59.84,13.84,250,4.81,149,9.48,10171,8705,5609,27,0.1717448,128,0.81419757,716,4.554417658,4313,27.43464156,10476,66.63698238,3,0.019082756,0,0,9752,1620,5562,2570,41-Rural: Fringe,41
821,Clinton City,242,28,11.57,3007,213,1922,71,12.43,21,2.64,16,5.32,8628,8400,5215,116,3.857665447,40,1.330229465,620,20.6185567,1256,41.76920519,998,33.18922514,3,0.09976721,754,25.07482541,8993,1779,5183,2030,32-Town: Distant,32
240,Columbus,452,61,13.5,6415,517,4352,75.9,14.19,74,3.46,18,2.81,9322,8671,5315,393,6.126266563,7,0.109119252,529,8.24629774,2282,35.57287607,3466,54.02961808,2,0.031176929,2,0.031176929,9487,2021,6135,1330,42-Rural: Distant,42
250,Craven,1000,121,12.1,14751,1313,6768,54.78,14.75,93,2.13,112,7.59,8093,7719,4844,58,0.393193682,378,2.562538133,1160,7.863873636,4484,30.39793912,8201,55.59623076,28,0.189817639,31,0.210155244,8553,1627,4931,1995,32-Town: Distant,32
260,Cumberland,3807,576,15.13,51631,3621,26135,57.63,13.56,516,3.12,524,10.15,8979,8168,5160,1028,1.991051887,834,1.615308632,5797,11.22775077,23802,46.10021111,18283,35.41089655,176,0.340880479,1,0.001936821,9411,1675,4903,2833,12-City: Mid-size,12
270,Currituck,283,35,12.37,3862,249,1105,35.06,13.65,48,3.73,39,10.1,9829,9051,5295,7,0.181253237,11,0.284826515,162,4.194717763,212,5.489383739,3090,80.01035733,2,0.051786639,3387,87.70067323,10159,1158,5210,3791,42-Rural: Distant,42
280,Dare,386,28,7.25,4823,315,1668,41.12,12.49,27,1.77,40,8.29,12466,10806,6538,10,0.20733983,44,0.912295252,520,10.78167116,145,3.006427535,4127,85.56914783,5,0.103669915,495,10.26332158,13844,1212,5382,7249,33-Town: Remote,33
290,Davidson,1242,123,9.9,20171,1325,7173,42.13,16.24,228,3.57,161,7.98,7767,6975,4525,70,0.347032869,199,0.98656487,1145,5.676466214,643,3.187744782,18274,90.59540925,11,0.054533737,143,0.708938575,7979,1078,4933,1968,41-Rural: Fringe,41
300,Davie,437,45,10.3,6492,372,2542,44.89,14.86,81,4.02,24,3.7,8122,7758,5043,14,0.215650031,35,0.539125077,771,11.87615527,407,6.269254467,5345,82.33210105,1,0.015403574,306,4.71349353,8928,1346,5156,2426,41-Rural: Fringe,41
310,Duplin,600,82,13.67,8945,659,5927,73.63,14.91,87,3.52,52,5.81,9055,8529,5254,47,0.525433203,15,0.167691448,3098,34.63387367,2428,27.14365567,3448,38.54667412,1,0.01117943,0,0,9458,1841,5923,1695,42-Rural: Distant,42
320,Durham,2238,405,18.1,31946,1665,18153,62.04,14.27,371,3.67,277,8.67,12223,9300,5611,103,0.322419082,741,2.319539222,6903,21.60833907,16890,52.87046892,6878,21.53008201,46,0.143992988,108,0.338070494,10373,1563,5017,3793,12-City: Mid-size,12
